RetailStore,CustomerID,TransactionID,Transaction Time,ProductID,Cost
1,1001,1ID10051,1/1/2011 9:18,1,144.75
2,1002,2ID10052,1/1/2011 11:56,2,97.25
2,1002,2ID10052,1/1/2011 11:56,3,47.25
2,1002,2ID10052,1/1/2011 11:56,4,197.25
3,1003,3ID10053,1/1/2011 12:38,5,216
3,1003,3ID10053,1/1/2011 12:38,6,137.25
1,1004,1ID10054,1/1/2011 11:54,7,253.25
2,1005,2ID10055,1/1/2011 14:30,8,147.25
3,1006,3ID10056,1/1/2011 13:43,9,192
3,1006,3ID10056,1/1/2011 13:43,10,101
3,1006,3ID10056,1/1/2011 13:43,10,101
3,1006,3ID10056,1/1/2011 13:43,11,202
3,1006,3ID10056,1/1/2011 13:43,12,101
3,1006,3ID10056,1/1/2011 13:43,13,242
2,1007,2ID10057,1/1/2011 16:42,5,216
2,1008,2ID10058,1/1/2011 17:13,14,197.25
2,1008,2ID10058,1/1/2011 17:13,15,147.25
2,1009,2ID10059,1/1/2011 17:17,16,197.25
2,1009,2ID10059,1/1/2011 17:17,17,197.25
2,1010,2ID10060,2/1/2011 12:59,18,210.75
2,1010,2ID10060,2/1/2011 12:59,5,197.25
2,1010,2ID10060,2/1/2011 12:59,19,106
3,1011,3ID10061,2/1/2011 12:14,20,252
1,1012,1ID10062,2/1/2011 11:48,20,199.75
1,1012,1ID10062,2/1/2011 11:48,20,199.75
1,1013,1ID10063,2/1/2011 11:51,21,142.25
2,1014,2ID10064,2/1/2011 13:53,18,204.5
2,1014,2ID10064,2/1/2011 13:53,18,217
2,1014,2ID10064,2/1/2011 13:53,22,27.25
2,1015,2ID10065,2/1/2011 14:19,20,260.75
2,1015,2ID10065,2/1/2011 14:19,4,260.75
2,1015,2ID10065,2/1/2011 14:19,2,97.25
1,1016,1ID10066,2/1/2011 12:43,23,152.25
1,1016,1ID10066,2/1/2011 12:43,15,139.75
1,1016,1ID10066,2/1/2011 12:43,15,139.75
1,1016,1ID10066,2/1/2011 12:43,24,139.75
1,1017,1ID10067,2/1/2011 13:42,4,189.75
1,1018,1ID10068,2/1/2011 13:42,25,253.25
1,1018,1ID10068,2/1/2011 13:42,26,258.25
1,1019,1ID10069,2/1/2011 17:19,1,144.75
1,1019,1ID10069,2/1/2011 17:19,25,189.75
1,1019,1ID10069,2/1/2011 17:19,25,189.75
2,1020,2ID10070,3/1/2011 11:07,25,254.5
2,1021,2ID10071,3/1/2011 11:08,25,254.5
2,1021,2ID10071,3/1/2011 11:08,9,204.5
2,1022,2ID10072,3/1/2011 11:11,25,260.75
3,1023,3ID10073,3/1/2011 10:33,9,192
3,1024,3ID10074,3/1/2011 10:46,1,197
3,1024,3ID10074,3/1/2011 10:46,1,197
3,1024,3ID10074,3/1/2011 10:46,1,197
3,1024,3ID10074,3/1/2011 10:46,1,197
3,1025,3ID10075,3/1/2011 10:49,18,197
3,1025,3ID10075,3/1/2011 10:49,18,197
3,1026,3ID10076,3/1/2011 10:50,21,142.25
2,1027,2ID10077,3/1/2011 12:15,15,147.25
3,1028,3ID10078,3/1/2011 11:22,21,197
3,1028,3ID10078,3/1/2011 11:22,9,137.25
3,1029,3ID10079,3/1/2011 11:34,27,208.25
1,1030,1ID10080,3/1/2011 11:21,28,189.75
1,1030,1ID10080,3/1/2011 11:21,5,199.75
2,1031,2ID10081,3/1/2011 13:23,29,18.75
2,1031,2ID10081,3/1/2011 13:23,6,204.5
1,1032,1ID10082,3/1/2011 11:32,1,144.75
1,1033,1ID10083,3/1/2011 12:02,30,197
2,1034,2ID10084,3/1/2011 14:20,31,999.75
2,1034,2ID10084,3/1/2011 14:20,31,999.75
1,1035,1ID10085,3/1/2011 13:42,1,144.75
1,1013,1ID10086,3/1/2011 14:06,21,142.25
1,1012,1ID10087,3/1/2011 16:14,25,189.75
